# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-9.4513,0,9.4513,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,405,0.6168,0.0079993,NaN,114.33,NaN,0.0065146,233181,0.73317,0,0.67731,0,0.51264,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.0029047
2e-3,0,0,-8.7565,0,8.7565,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,405,0.6168,0.0079993,NaN,114.33,NaN,0.0065194,233353,2.1995,0,0.67722,0,0.51255,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.0036884
4e-3,0,0,-8.0618,0,8.0618,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,405,0.6168,0.0079993,NaN,114.33,NaN,0.0065242,233525,3.6658,0,0.67713,0,0.51246,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.010174
6e-3,0,0,2.708,0,2.708,0,0,0,0,0,0,37.2,-80.6,9.7987,90,0,0,0,2110.5,404.99,0.6168,0.0079993,NaN,114.33,NaN,0.006529,233696,26.396,0,0.67705,0,0.51237,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.011511
8e-3,5.4162e-6,0.0054162,23.553,0.0054162,23.553,0,0,0,0,0,0,37.2,-80.6,9.7987,89.86,0,0,0,2110.5,404.97,0.6168,0.0079993,NaN,114.33,NaN,0.0065338,233869,70.389,0,0.67696,2.4703e-8,0.51229,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2919e-7,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.012417
0.01,6.3356e-5,0.052524,117.18,0.052524,117.18,0,0,0,0,0,0,37.2,-80.6,9.7987,88.645,0,0,0,2110.5,404.92,0.61679,0.0079993,NaN,114.33,NaN,0.0065404,234105,267.99,3.2063e-7,0.67684,2.2182e-5,0.51217,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1016e-6,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.013476
0.012,4.0279e-4,0.28691,225.19,0.28691,225.19,0,0,0,0,0,0,37.2,-80.6,9.7987,82.645,0,0,0,2110.3,404.76,0.61678,0.0079992,NaN,114.32,NaN,0.0065977,236155,495.9,4.8882e-5,0.6758,0.0033232,0.51113,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.333e-5,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.016016
0.014,0.001427,0.73737,256.63,0.73737,256.63,0,0,0,0,0,0,37.2,-80.6,9.7987,71.659,0,0,0,2109.9,404.35,0.61675,0.0079992,NaN,114.32,NaN,0.0068986,246927,562.14,7.218e-4,0.67057,0.044883,0.5059,0.044665,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5659e-5,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.019277
0.016,0.0034151,1.2507,279.06,1.2507,279.06,0,0,0,0,0,0,37.2,-80.6,9.7987,60.668,0,0,0,2109.4,403.81,0.61672,0.0079991,NaN,114.31,NaN,0.0075167,269049,609.31,0.002973,0.66072,0.15572,0.49604,0.044666,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.453e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.020006
0.018,0.0064749,1.809,297.92,1.809,297.92,0,0,0,0,0,0,37.2,-80.6,9.7987,50.919,0,0,0,2108.7,403.2,0.61668,0.007999,NaN,114.31,NaN,0.0084479,302383,648.9,0.0074594,0.64777,0.30931,0.48309,0.044667,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1015e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.020703
0.02,0.010689,2.405,324.47,2.405,324.47,0,0,0,0,0,0,37.2,-80.6,9.7987,42.827,0,0,0,2108.1,402.55,0.61664,0.0079988,NaN,114.3,NaN,0.0096539,345550,704.69,0.014429,0.63358,0.45817,0.4689,0.044668,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7938e-4,7.87,48.645,90,0,NaN,13.817,991.9,339.67,2e-3,0.021408
